gen,idx_in_gen,global_eval_idx,eval_tag,g0,g1,g2,g3,g4,g5,g6,eta1,eta2,gamma1,gamma2,gamma3,w_sharp,red_gain,map50,map50_95,eval_time_sec,ok,cache_hit,work_dir
0,15,16,run4_p1798000_e16,0.6634928584098816,0.7601931095123291,0.6891775131225586,0.39475369453430176,0.7732735276222229,0.9414164423942566,0.9830726981163025,0.6634928584098816,0.7601931095123291,2.8675325393676756,1.7895073890686035,2.546547055244446,0.9414164423942566,2.4746090471744537,0.111,0.0476,1277.205420255661,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_0d34d92ef9d259a3
0,16,17,run4_p1798000_e17,0.398218035697937,0.16366040706634521,0.22706663608551025,0.9521865248680115,0.9488357901573181,0.4781033396720886,0.21951770782470703,0.398218035697937,0.16366040706634521,1.4811999082565308,2.904373049736023,2.8976715803146362,0.4781033396720886,1.3292765617370605,0.595,0.287,1200.674936056137,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_72ac1a8a370e5dd2
0,17,18,run4_p1798000_e18,0.8182708621025085,0.9111853241920471,0.3395642042160034,0.6780571341514587,0.422508180141449,0.24552160501480103,0.4001631736755371,0.8182708621025085,0.9111853241920471,1.8186926126480103,2.3561142683029175,1.845016360282898,0.24552160501480103,1.6002447605133057,0.604,0.291,1322.7478566169739,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_b1597f3aea67a938
0,18,19,run4_p1798000_e19,0.8396455645561218,0.28334665298461914,0.6623544096946716,0.2831012010574341,0.6467760801315308,0.6375284194946289,0.5980954170227051,0.8396455645561218,0.28334665298461914,2.7870632290840147,1.5662024021148682,2.2935521602630615,0.6375284194946289,1.8971431255340576,0.356,0.161,1317.144814491272,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_cdfe8eeb74d32b8e
0,19,20,run4_p1798000_e20,0.902631402015686,0.4156234860420227,0.3966696262359619,0.13178503513336182,0.8049584031105042,0.8424845933914185,0.8377652168273926,0.902631402015686,0.4156234860420227,1.9900088787078858,1.2635700702667236,2.6099168062210083,0.8424845933914185,2.256647825241089,0.22,0.0962,1348.7390263080597,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_cf28b8d1e8109bc5
0,20,21,run4_p1798000_e21,0.8951215744018555,0.9076191782951355,0.13862502574920654,0.8560402989387512,0.6947106719017029,0.894129753112793,0.6754185557365417,0.8951215744018555,0.9076191782951355,1.2158750772476197,2.7120805978775024,2.3894213438034058,0.894129753112793,2.0131278336048126,0.237,0.103,1311.9920108318329,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_17773d6fc8756caa
0,21,22,run4_p1798000_e22,0.07801699638366699,0.5244203209877014,0.7660530209541321,0.04045236110687256,0.09624272584915161,0.7973121404647827,0.6747835874557495,0.07801699638366699,0.5244203209877014,3.098159062862396,1.0809047222137451,1.1924854516983032,0.7973121404647827,2.0121753811836243,0.308,0.14,1483.7771229743958,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_7912efd4a86f3116
0,22,23,run4_p1798000_e23,0.6265920400619507,0.38052964210510254,0.30819272994995117,0.24603259563446045,0.7958264350891113,0.30981868505477905,0.55103999376297,0.6265920400619507,0.38052964210510254,1.7245781898498536,1.492065191268921,2.5916528701782227,0.30981868505477905,1.826559990644455,0.513,0.243,1373.566316127777,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_012204cef72cdd5b
0,23,24,run4_p1798000_e24,0.08932512998580933,0.8263733386993408,0.10235410928726196,0.6786264777183533,0.6006720662117004,0.2847751975059509,0.9343661069869995,0.08932512998580933,0.8263733386993408,1.107062327861786,2.3572529554367065,2.201344132423401,0.2847751975059509,2.4015491604804993,0.237,0.105,1327.359614610672,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_2f99e9b360e4dd27
0,24,25,run4_p1798000_e25,0.5513259768486023,0.40602946281433105,0.3020135760307312,0.6952376961708069,0.6680850982666016,0.34294503927230835,0.43975454568862915,0.5513259768486023,0.40602946281433105,1.7060407280921936,2.3904753923416138,2.336170196533203,0.34294503927230835,1.6596318185329437,0.552,0.264,1092.2599630355835,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_cc68441d1d697197
